Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19,ESTACAO,Latitude,Longitude,geometry
2026/01/01,0000 UTC,0,"1008,8","1008,9","1008,2",,"25,9","21,7","26,3","25,9","21,7","21,4",78.0,75.0,78.0,49.0,"8,6","3,4",,CAMPOS DOS GOYTACAZES,-21.71472222,-41.34388888,POINT (-41.34388888 -21.71472222)
2026/01/01,0000 UTC,0,"1008,1","1008,1","1007,7",0,"27,4","22,8","27,8","26,8","23,4","22,6",81.0,74.0,76.0,128.0,"1,7",1,,RIO DE JANEIRO - VILA MILITAR,-22.86138888,-43.41138888,POINT (-43.41138888 -22.86138888)
2026/01/01,0000 UTC,0,"1009,7","1009,7","1009,2",,"26,5","23,4","27,1","26,5","23,8","22,2",83.0,75.0,83.0,262.0,"5,3","1,4",,RIO DE JANEIRO-MARAMBAIA,-23.05027777,-43.59555555,POINT (-43.59555555 -23.05027777)
2026/01/01,0000 UTC,0,"897,5","897,5","897,1",,"19,4","16,4","20,9",19,18,"15,7",83.0,76.0,82.0,334.0,"3,1","1,5",,NOVA FRIBURGO - SALINAS,-22.33472221,-42.67694443,POINT (-42.67694443 -22.33472221)
2026/01/01,0000 UTC,0,1009,1009,"1007,5",,"26,9","21,8","28,1","26,9","21,9","21,8",74.0,69.0,74.0,26.0,"7,3","1,8",,MACAE,-22.3761111,-41.81194444,POINT (-41.81194444 -22.3761111)
2026/01/01,0000 UTC,0,"1008,7","1008,8","1008,5",0,"26,4","25,2","26,7",26,"25,3","24,8",95.0,90.0,93.0,236.0,"1,2",",5",,DUQUE DE CAXIAS - XEREM,-22.58972221,-43.28222221,POINT (-43.28222221 -22.58972221)
2026/01/01,0000 UTC,0,1011,1011,"1010,7",,"26,7","24,5","27,5","25,7","25,1","23,7",88.0,86.0,88.0,258.0,"2,8","1,7",,PARATY,-23.2236111,-44.72694443,POINT (-44.72694443 -23.2236111)
2026/01/01,0000 UTC,0,"1011,1","1011,1","1010,3","498,3",26,22,"26,2",26,"22,1","21,8",79.0,77.0,79.0,59.0,"13,5","7,7",,CAMPOS DOS GOYTACAZES - SAO TOME,-22.04166666,-41.05166666,POINT (-41.05166666 -22.04166666)
2026/01/01,0000 UTC,0,"827,4","827,4","827,1",,"18,4","13,2","18,6","18,2","13,2","12,4",72.0,68.0,72.0,335.0,"7,5","2,5",,PICO DO COUTO,-22.46472222,-43.29138888,POINT (-43.29138888 -22.46472222)
2026/01/01,0000 UTC,0,962,962,"961,5",,"24,8","18,5","26,1","24,6","20,5","18,1",76.0,62.0,68.0,318.0,2,"1,1",,RESENDE,-22.45138888,-44.44499999,POINT (-44.44499999 -22.45138888)
2026/01/01,0000 UTC,0,"905,8","905,8","905,6",0,"20,8","18,6","21,7","20,8","18,8","18,1",88.0,81.0,87.0,,,,,TERESOPOLIS-PARQUE NACIONAL,-22.4486111,-42.98694444,POINT (-42.98694444 -22.4486111)
2026/01/01,0000 UTC,0,"1004,4","1004,4","1003,6",,"28,4","23,6","28,8","28,4","23,6","22,9",75.0,71.0,75.0,307.0,"1,9",",5",,CAMBUCI,-21.58749999,-41.95833333,POINT (-41.95833333 -21.58749999)
2026/01/01,0000 UTC,0,"970,5","970,5","970,2",,"24,7","21,3","25,7","24,7","21,7","21,1",83.0,75.0,81.0,254.0,2,",5",,VALENCA,-22.35805555,-43.69555555,POINT (-43.69555555 -22.35805555)
2026/01/01,0000 UTC,0,"1007,5","1007,5","1007,3",,"25,6",23,"27,1","25,6","23,2","22,9",85.0,79.0,85.0,196.0,"2,5",",3",,SEROPEDICA-ECOLOGIA AGRICOLA,-22.75777777,-43.68472221,POINT (-43.68472221 -22.75777777)
2026/01/01,0000 UTC,0,"1011,6","1011,7",1011,0,"24,4","21,9","24,5","24,4",22,"21,9",86.0,86.0,86.0,84.0,"4,8","3,1",,ARRAIAL DO CABO,-22.97527777,-42.02138888,POINT (-42.02138888 -22.97527777)
2026/01/01,0000 UTC,0,"978,2","978,3","977,8",,"26,2",21,27,"25,9","21,8",21,77.0,70.0,73.0,358.0,"1,4",",9",,CARMO,-21.9386111,-42.60083333,POINT (-42.60083333 -21.9386111)
2026/01/01,0000 UTC,,"954,8","954,8",,,"24,7","21,2","25,3","24,7","21,6","21,1",82.0,77.0,81.0,,,,,RIO CLARO,-22.653579,-44.040916,POINT (-44.040916 -22.653579)
2026/01/01,0000 UTC,,,,,,,,,,,,,,,,,,,ANGRA DOS REIS,-22.97555554,-44.30333333,POINT (-44.30333333 -22.97555554)
2026/01/01,0000 UTC,0,"1010,9","1010,9","1010,5",,"29,5","21,2","29,5","29,1","21,5","21,2",64.0,61.0,61.0,264.0,"4,9",",3",,NITEROI,-22.86749999,-43.10194444,POINT (-43.10194444 -22.86749999)
2026/01/01,0000 UTC,0,"1009,1","1009,1","1008,7",,"24,5","23,3","25,7","24,5","23,7","23,1",93.0,88.0,93.0,263.0,"1,9",",1",,RIO DE JANEIRO - JACAREPAGUA,-22.93999999,-43.40277777,POINT (-43.40277777 -22.93999999)
2026/01/01,0000 UTC,0,"976,8","976,8","976,5",,"27,3","21,7","28,3","27,2","21,8","21,2",72.0,66.0,72.0,46.0,"1,1",",1",,TRES RIOS,-22.09833333,-43.20833333,POINT (-43.20833333 -22.09833333)
2026/01/01,0000 UTC,0,"1009,4","1009,4","1009,1",,"26,4","23,3","26,7","26,1","23,6","23,2",85.0,82.0,83.0,244.0,"2,5","1,3",,SAQUAREMA - SAMPAIO CORREIA,-22.8711111,-42.60888888,POINT (-42.60888888 -22.8711111)
2026/01/01,0000 UTC,0,"1009,5","1009,7","1009,4",,"27,6","22,5","28,5","27,5","22,7","22,3",74.0,70.0,74.0,70.0,"2,6","1,1",,SILVA JARDIM,-22.64583333,-42.41555555,POINT (-42.41555555 -22.64583333)
2026/01/01,0000 UTC,0,"948,9","948,9","948,2",0,"23,2","22,3","23,5",23,"22,6","21,6",96.0,90.0,94.0,226.0,",6",0,,SANTA MARIA MADALENA,-21.95055555,-42.01027777,POINT (-42.01027777 -21.95055555)
2026/01/01,0000 UTC,,,,,,,,,,,,,,,,,,,RIO DE JANEIRO - FORTE DE COPACABANA,-22.98833333,-43.19055555,POINT (-43.19055555 -22.98833333)
2026/01/01,0000 UTC,0,"955,3","955,3",955,,"21,9","20,7","22,7","21,7","20,9","20,4",94.0,88.0,93.0,156.0,"1,6",",7",,PATY DO ALFERES - AVELAR,-22.34722221,-43.41777777,POINT (-43.41777777 -22.34722221)
